2015-12-29 4:01:47 - PHP Warning:  fopen(D:/xampp/htdocs/ytc_templates/opencart/so_shoppystore/system/cache/cache.order_status.1.1451361707): failed to open stream: No such file or directory in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 49
2015-12-29 4:01:47 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 51
2015-12-29 4:01:47 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 53
2015-12-29 4:01:47 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 55
2015-12-29 4:01:47 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 57
2015-12-29 4:01:47 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 59
2015-12-29 4:02:29 - PHP Warning:  fopen(D:/xampp/htdocs/ytc_templates/opencart/so_shoppystore/system/cache/cache.store.1451361749): failed to open stream: No such file or directory in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 49
2015-12-29 4:02:29 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 51
2015-12-29 4:02:29 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 53
2015-12-29 4:02:29 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 55
2015-12-29 4:02:29 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 57
2015-12-29 4:02:29 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 59
2015-12-29 4:02:30 - PHP Warning:  fopen(D:/xampp/htdocs/ytc_templates/opencart/so_shoppystore/system/cache/cache.order_status.1.1451361750): failed to open stream: No such file or directory in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 49
2015-12-29 4:02:30 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 51
2015-12-29 4:02:30 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in D:\xampp\htdocs\ytc_templates\opencart\so_shoppystore\system\library\cache\file.php on line 53
